date,ticker,price
2024-01-01,AAPL,151.63785119083974
2024-01-02,AAPL,150.169050806556
2024-01-03,AAPL,149.53663070273146
2024-01-04,AAPL,149.8652391845393
2024-01-05,AAPL,149.93655017688104
2024-01-06,AAPL,151.37123047628376
2024-01-07,AAPL,152.01608691814053
2024-01-08,AAPL,153.89900548541377
2024-01-09,AAPL,154.30524159159225
2024-01-10,AAPL,154.61626423644003
2024-01-11,AAPL,154.07070904455756
2024-01-12,AAPL,155.19117514344563
2024-01-13,AAPL,154.14386648534312
2024-01-14,AAPL,153.9688853355808
2024-01-15,AAPL,154.34359242255093
2024-01-16,AAPL,154.28647160906303
2024-01-17,AAPL,153.58511462249012
2024-01-18,AAPL,155.9841341094077
2024-01-19,AAPL,155.48648510759313
2024-01-20,AAPL,155.78687064532448
