date,daily_return,daily_return_2
2022-01-03,0.0012626589002131872,0.0038336934339156547
2022-01-04,-0.020046280788065054,-0.009506278324938968
2022-01-05,0.004739011113263563,-0.0005351063022975984
2022-01-06,0.009953112895720904,0.012539448560271657
2022-01-07,0.008871904682278829,0.009840016332263056
2022-01-10,0.017366389297816077,-7.079706266681536e-05
2022-01-11,-0.0026169829012876616,-0.002859060518035813
2022-01-12,-0.005121013383990484,0.0020455161440836537
2022-01-13,-1.3249549547560786e-05,-0.0015812533023288828
2022-01-14,-0.005877831525146322,0.0018378313896906056
2022-01-17,0.020212569975066427,0.012290552616776055
2022-01-18,0.010023102506236543,0.018640135211289016
2022-01-19,-0.019688123393028292,-0.01268739139542033
2022-01-20,-0.002880493408496417,-0.005938087757290252
2022-01-21,0.0038983961385767488,0.0027220416258739357
2022-01-24,-0.01925282287108299,-0.01490785783546749
2022-01-25,0.011648765358803694,0.005403462164998616
2022-01-26,-0.006234480470740536,-0.006867473230413477
2022-01-27,-0.012422299007271854,-0.01274154265542395
2022-01-28,-0.004000274417377512,0.0028805257045660788
2022-01-31,-0.011322943035823575,-0.00677130707898185
2022-02-01,0.008812690924790931,0.006356763451885666
2022-02-02,0.003413337755142121,-0.006430576934453632
2022-02-03,-0.005966466042028525,0.0031605143730314236
2022-02-04,-0.009563600819061357,-0.015558218434355404
2022-02-07,-0.000187322416565439,-0.0012706708066465562
2022-02-08,-0.013625602383837053,-0.007953435263417994
2022-02-09,9.990853491109513e-05,-0.008501490635582297
2022-02-10,-0.009052230356349968,0.00262923903719677
2022-02-11,0.0019989599242205363,-0.0021098617541030597
2022-02-14,0.008275417643220472,0.0020694079797117597
2022-02-15,-0.0028858524983596473,-0.000859577405939607
2022-02-16,-0.00046143694858499047,0.0037175007353099075
2022-02-17,0.0015059103606272699,0.0035905294197839375
2022-02-18,0.008182052956069863,0.0007898825841800607
2022-02-21,0.007196238420501185,0.0050485494545685515
2022-02-22,0.004177830887425009,0.0020535383522640835
